Freq.	V(vout)
1.70608238900310e+002	(-1.01637997312873e-003dB,-1.04149515827510e+000°)
1.71001531509027e+002	(-1.01723758347309e-003dB,-1.04389599869861e+000°)
1.71395730750840e+002	(-1.01809915156956e-003dB,-1.04630237325748e+000°)
1.71790838715757e+002	(-1.01896469572056e-003dB,-1.04871429470664e+000°)
1.72186857498599e+002	(-1.01983423422947e-003dB,-1.05113177583037e+000°)
1.72583789199018e+002	(-1.02070778556556e-003dB,-1.05355482944244e+000°)
1.72981635921508e+002	(-1.02158536824441e-003dB,-1.05598346838611e+000°)
1.73380399775412e+002	(-1.02246700082888e-003dB,-1.05841770553424e+000°)
1.73780082874935e+002	(-1.02335270202940e-003dB,-1.06085755378935e+000°)
1.74180687339159e+002	(-1.02424249062969e-003dB,-1.06330302608367e+000°)
1.74582215292048e+002	(-1.02513638544052e-003dB,-1.06575413537924e+000°)
1.74984668862463e+002	(-1.02603440547904e-003dB,-1.06821089466795e+000°)
1.75388050184174e+002	(-1.02693656970842e-003dB,-1.07067331697163e+000°)
1.75792361395867e+002	(-1.02784289730884e-003dB,-1.07314141534210e+000°)
1.76197604641161e+002	(-1.02875340746723e-003dB,-1.07561520286127e+000°)
1.76603782068614e+002	(-1.02966811945059e-003dB,-1.07809469264115e+000°)
1.77010895831740e+002	(-1.03058705269667e-003dB,-1.08057989782399e+000°)
1.77418948089014e+002	(-1.03151022662293e-003dB,-1.08307083158230e+000°)
1.77827941003890e+002	(-1.03243766087160e-003dB,-1.08556750711894e+000°)
1.78237876744807e+002	(-1.03336937503572e-003dB,-1.08806993766719e+000°)
1.78648757485203e+002	(-1.03430538887616e-003dB,-1.09057813649081e+000°)
1.79060585403527e+002	(-1.03524572224350e-003dB,-1.09309211688411e+000°)
1.79473362683250e+002	(-1.03619039506742e-003dB,-1.09561189217204e+000°)
1.79887091512876e+002	(-1.03713942735380e-003dB,-1.09813747571024e+000°)
1.80301774085954e+002	(-1.03809283923007e-003dB,-1.10066888088513e+000°)
