time	V(vin)	V(vout)
1.255044435834891e-005	-1.407693e+000	-5.427690e-001
1.262189364049451e-005	-1.425930e+000	-5.425936e-001
1.269334292264011e-005	-1.443902e+000	-5.424199e-001
1.276479220478571e-005	-1.461610e+000	-5.422479e-001
1.283624148693131e-005	-1.479053e+000	-5.420777e-001
1.290769076907691e-005	-1.496232e+000	-5.419093e-001
1.295078079236519e-005	-1.506441e+000	-5.418085e-001
1.299387081565346e-005	-1.516549e+000	-5.417083e-001
1.303696083894174e-005	-1.526556e+000	-5.416087e-001
1.308005086223002e-005	-1.536462e+000	-5.415097e-001
1.312314088551830e-005	-1.546267e+000	-5.414113e-001
1.316623090880657e-005	-1.555972e+000	-5.413135e-001
1.320932093209485e-005	-1.565575e+000	-5.412163e-001
1.323789521808902e-005	-1.571871e+000	-5.411521e-001
1.326646950408320e-005	-1.578122e+000	-5.410882e-001
1.329504379007737e-005	-1.584330e+000	-5.410245e-001
1.332361807607154e-005	-1.590493e+000	-5.409611e-001
1.335219236206572e-005	-1.596612e+000	-5.408980e-001
1.338076664805989e-005	-1.602687e+000	-5.408351e-001
1.340934093405407e-005	-1.608718e+000	-5.407724e-001
1.343791522019461e-005	-1.614682e+000	-5.407100e-001
1.346648950633515e-005	-1.620602e+000	-5.406479e-001
1.349506379247569e-005	-1.626476e+000	-5.405860e-001
1.352363807861623e-005	-1.632305e+000	-5.405243e-001
1.355221236475677e-005	-1.638089e+000	-5.404629e-001
1.358078665089731e-005	-1.643827e+000	-5.404017e-001
1.360936093703785e-005	-1.649521e+000	-5.403408e-001
1.363793521966558e-005	-1.655147e+000	-5.402801e-001
1.366650950229331e-005	-1.660726e+000	-5.402196e-001
1.369508378492103e-005	-1.666259e+000	-5.401594e-001
1.372365806754876e-005	-1.671746e+000	-5.400994e-001
1.375223235017648e-005	-1.677187e+000	-5.400397e-001
1.378080663280421e-005	-1.682581e+000	-5.399802e-001
1.380938091543194e-005	-1.687929e+000	-5.399209e-001
1.390139013901390e-005	-1.704800e+000	-5.397316e-001
1.394619449255546e-005	-1.712739e+000	-5.396402e-001
1.400140014001400e-005	-1.722521e+000	-5.395285e-001
1.402540417190884e-005	-1.726624e+000	-5.394802e-001
1.410141014101410e-005	-1.739617e+000	-5.393282e-001
1.414621766721780e-005	-1.746995e+000	-5.392393e-001
1.420142014201420e-005	-1.756084e+000	-5.391306e-001
1.422538338253876e-005	-1.759877e+000	-5.390837e-001
1.430143014301430e-005	-1.771915e+000	-5.389357e-001
1.432060073543394e-005	-1.774827e+000	-5.388986e-001
1.440144014401440e-005	-1.787105e+000	-5.387434e-001
1.442638237742571e-005	-1.790732e+000	-5.386959e-001
1.450145014501450e-005	-1.801649e+000	-5.385537e-001
1.452140393174355e-005	-1.804421e+000	-5.385162e-001
1.460146014601460e-005	-1.815542e+000	-5.383666e-001
1.460290655014373e-005	-1.815733e+000	-5.383639e-001
1.463127420698246e-005	-1.819528e+000	-5.383113e-001
1.465964186382118e-005	-1.823278e+000	-5.382589e-001
1.468800952065990e-005	-1.826983e+000	-5.382066e-001
1.471637717749863e-005	-1.830644e+000	-5.381546e-001
1.474474483433735e-005	-1.834259e+000	-5.381028e-001
1.477311249117608e-005	-1.837830e+000	-5.380512e-001
1.480148014801480e-005	-1.841356e+000	-5.379998e-001
1.483110250457935e-005	-1.844885e+000	-5.379463e-001
1.490149014901490e-005	-1.853269e+000	-5.378200e-001
1.492518803426654e-005	-1.855934e+000	-5.377778e-001
1.500150015001500e-005	-1.864514e+000	-5.376427e-001
1.502045845821631e-005	-1.866518e+000	-5.376093e-001
1.510151015101510e-005	-1.875086e+000	-5.374677e-001
1.513151315131513e-005	-1.878056e+000	-5.374156e-001
1.520152015201520e-005	-1.884984e+000	-5.372950e-001
1.522552255225523e-005	-1.887196e+000	-5.372539e-001
1.530153015301530e-005	-1.894202e+000	-5.371246e-001
1.532073207320732e-005	-1.895841e+000	-5.370921e-001
1.540154015401540e-005	-1.902740e+000	-5.369565e-001
1.542554255425544e-005	-1.904624e+000	-5.369164e-001
1.550155015501550e-005	-1.910592e+000	-5.367905e-001
1.552075207520753e-005	-1.911968e+000	-5.367589e-001
1.560156015601560e-005	-1.917758e+000	-5.366267e-001
1.562556255625541e-005	-1.919313e+000	-5.365877e-001
1.570157015701570e-005	-1.924235e+000	-5.364650e-001
1.572077207720755e-005	-1.925346e+000	-5.364343e-001
1.580158015801580e-005	-1.930022e+000	-5.363055e-001
1.582558255826100e-005	-1.931244e+000	-5.362675e-001
1.590159015901590e-005	-1.935115e+000	-5.361481e-001
1.592079207921206e-005	-1.935960e+000	-5.361180e-001
1.600160016001600e-005	-1.939515e+000	-5.359926e-001
1.602560256013189e-005	-1.940404e+000	-5.359555e-001
1.610161016101610e-005	-1.943219e+000	-5.358391e-001
1.612081208110881e-005	-1.943797e+000	-5.358099e-001
1.620162016201620e-005	-1.946227e+000	-5.356877e-001
1.622562256523558e-005	-1.946782e+000	-5.356516e-001
1.630163016301630e-005	-1.948538e+000	-5.355381e-001
1.632083208559181e-005	-1.948848e+000	-5.355096e-001
1.640164016401640e-005	-1.950152e+000	-5.353906e-001
1.642564249275189e-005	-1.950372e+000	-5.353554e-001
1.650165016501650e-005	-1.951069e+000	-5.352448e-001
1.652085202800489e-005	-1.951111e+000	-5.352170e-001
1.660166016601660e-005	-1.951288e+000	-5.351009e-001
1.662566428236562e-005	-1.951173e+000	-5.350666e-001
1.670167016701670e-005	-1.950810e+000	-5.349588e-001
1.672087346009592e-005	-1.950584e+000	-5.349317e-001
1.680168016801680e-005	-1.949636e+000	-5.348185e-001
1.682564138164097e-005	-1.949187e+000	-5.347852e-001
1.690169016901690e-005	-1.947765e+000	-5.346800e-001
1.692085913991624e-005	-1.947274e+000	-5.346537e-001
1.700170017001700e-005	-1.945201e+000	-5.345432e-001
1.702669104903759e-005	-1.944387e+000	-5.345093e-001
1.710171017101710e-005	-1.941943e+000	-5.344082e-001
1.712170287423358e-005	-1.941153e+000	-5.343813e-001
1.720181314185267e-005	-1.937989e+000	-5.342746e-001
1.720233496745026e-005	-1.937965e+000	-5.342740e-001
1.720285679304785e-005	-1.937941e+000	-5.342733e-001
1.720337861864543e-005	-1.937916e+000	-5.342726e-001
1.720390044424302e-005	-1.937892e+000	-5.342719e-001
1.720442226984061e-005	-1.937868e+000	-5.342712e-001
1.720494409543819e-005	-1.937844e+000	-5.342705e-001
1.720546592103578e-005	-1.937819e+000	-5.342698e-001
1.720558887223005e-005	-1.937814e+000	-5.342696e-001
1.720568894832822e-005	-1.937809e+000	-5.342780e-001
1.720575253183665e-005	-1.937806e+000	-5.343010e-001
1.720583125218309e-005	-1.937803e+000	-5.343826e-001
1.720592247876397e-005	-1.937798e+000	-5.346079e-001
1.720595252080698e-005	-1.937797e+000	-5.347227e-001
1.720596724345410e-005	-1.937796e+000	-5.347868e-001
1.720597281325939e-005	-1.937796e+000	-5.348119e-001
1.720597694653396e-005	-1.937796e+000	-5.348305e-001
1.720598216974646e-005	-1.937796e+000	-5.348541e-001
1.720598735426662e-005	-1.937795e+000	-5.348774e-001
1.720599772330695e-005	-1.937795e+000	-5.349243e-001
1.720601408152355e-005	-1.937794e+000	-5.349982e-001
1.720604679795676e-005	-1.937793e+000	-5.351465e-001
1.720611210749981e-005	-1.937790e+000	-5.354434e-001
1.720618178329333e-005	-1.937786e+000	-5.357612e-001
1.720626776471774e-005	-1.937782e+000	-5.361543e-001
1.720637981454851e-005	-1.937777e+000	-5.366677e-001
1.720652752068352e-005	-1.937770e+000	-5.373458e-001
1.720671236786468e-005	-1.937762e+000	-5.381956e-001
1.720695795943115e-005	-1.937750e+000	-5.393260e-001
1.720727246499304e-005	-1.937736e+000	-5.407744e-001
1.720769584312319e-005	-1.937716e+000	-5.427244e-001
1.720825202635265e-005	-1.937690e+000	-5.452848e-001
1.720901616648167e-005	-1.937655e+000	-5.487980e-001
1.721005497966642e-005	-1.937607e+000	-5.535633e-001
1.721151879392219e-005	-1.937539e+000	-5.602543e-001
1.721359464395500e-005	-1.937442e+000	-5.696914e-001
1.721662938815530e-005	-1.937302e+000	-5.833753e-001
1.722113044241823e-005	-1.937093e+000	-6.034220e-001
1.722804556997986e-005	-1.936772e+000	-6.336434e-001
1.723888420068554e-005	-1.936269e+000	-6.796311e-001
1.725656924128610e-005	-1.935449e+000	-7.511805e-001
1.728627823302169e-005	-1.934071e+000	-8.622533e-001
1.730173017301730e-005	-1.933354e+000	-9.157426e-001
1.730695846868450e-005	-1.933075e+000	-9.330640e-001
1.731741506001888e-005	-1.932518e+000	-9.671053e-001
1.733832824268766e-005	-1.931405e+000	-1.031699e+000
1.738015460802522e-005	-1.929177e+000	-1.148068e+000
1.740174017401740e-005	-1.928027e+000	-1.201892e+000
1.742683599321993e-005	-1.926518e+000	-1.259417e+000
1.746029708548998e-005	-1.924507e+000	-1.329227e+000
1.750175017501750e-005	-1.922015e+000	-1.405340e+000
1.752182683037953e-005	-1.920671e+000	-1.438299e+000
1.754859570419557e-005	-1.918879e+000	-1.479004e+000
1.760711395078081e-005	-1.914925e+000	-1.555862e+000
1.763923659936005e-005	-1.912556e+000	-1.591736e+000
1.768206679746571e-005	-1.909398e+000	-1.633667e+000
1.771033621663883e-005	-1.907255e+000	-1.657864e+000
1.772746829588110e-005	-1.905876e+000	-1.671428e+000
1.776173245436562e-005	-1.903117e+000	-1.696142e+000
1.780178017801780e-005	-1.899893e+000	-1.721317e+000
1.782233867310852e-005	-1.898100e+000	-1.732768e+000
1.784974999989614e-005	-1.895708e+000	-1.746760e+000
1.790179017901790e-005	-1.891168e+000	-1.769548e+000
1.791823697509048e-005	-1.889623e+000	-1.775766e+000
1.794016603652057e-005	-1.887563e+000	-1.783453e+000
1.798402415938077e-005	-1.883443e+000	-1.796839e+000
1.801057180459004e-005	-1.880890e+000	-1.803705e+000
1.802811505373412e-005	-1.879126e+000	-1.807828e+000
1.806320155202227e-005	-1.875596e+000	-1.815100e+000
1.810181018101810e-005	-1.871712e+000	-1.821733e+000
